,index,country_code,geometry,area,samples,boundaries,coords
465,465,MEX,"POLYGON ((-95.25022701697304 16.12831818284064, -96.05338212765332 15.7520879175396, -96.55743404822829 15.65351512294279, -97.26359249549665 15.91706492763132, -98.01302995480961 16.10731171311392, -98.94767574745651 16.56604340256877, -99.69739742714705 16.70616404872817, -100.8294988675813 17.17107107184205, -101.6660886299545 17.64902639410963, -101.9185280017002 17.91609019619398, -102.4781320869889 17.9757506372751, -103.5009895495581 18.29229462327885, -103.9175274320468 18.74857168220001, -104.9920096504755 19.31613393806168, -105.4930384997614 19.94676727953544, -105.7313960437077 20.43410187426412, -105.3977729968313 20.53171865486343, -105.5006607735244 20.81689504646613, -105.2707523262579 21.07628489835514, -105.265817226974 21.42210358325235, -105.6031609769754 21.87114594165257, -105.6934138659731 22.26908030851615, -106.028716396899 22.77375234627863, -106.9099804349884 23.7677743596289, -107.9154487780914 24.54891531015295, -108.401904873471 25.17231395110593, -101.7946189418326 20.61431205740135, -95.25022701697304 16.12831818284064))",26.141095630968195,"[[-105.53740448735498, 20.440152951408386], [-106.3499894221047, 23.18074749690804], [-103.53934285483777, 21.49255311699415], [-105.25369931246935, 19.95188923835806], [-108.13528641010639, 24.908341396754242], [-100.3231057909949, 19.472065270159327], [-96.30300591159092, 16.37038396510745]]","[-108.401904873471, 15.65351512294279, -95.25022701697304, 25.17231395110593]",[]
466,466,MEX,"POLYGON ((-117.1277599999999 32.53533999999996, -115.99135 32.61239000000012, -114.7213899999999 32.72082999999992, -114.815 32.52528000000001, -113.30498 32.03914000000009, -111.02361 31.33471999999995, -109.035 31.34194000000014, -108.2419399999999 31.34222000000005, -108.24 31.75485371816637, -106.5075899999999 31.75452000000001, -106.1429 31.39995000000005, -105.63159 31.08383000000009, -105.03737 30.64401999999995, -104.70575 30.12173000000001, -104.4569699999999 29.57196000000005, -103.94 29.27000000000004, -103.3115378898296 29.04284502042036, -104.4628141193768 28.04993358368393, -113.1504133881729 31.12672632089247, -113.1486693998572 31.17096588797892, -113.8718810697819 31.56760834403519, -114.2057366606035 31.52404511161313, -114.776451178835 31.79953217216115, -114.8100138699623 31.71448901010607, -117.1277599999999 32.53533999999996))",18.92531922582578,"[[-109.33839674877314, 29.900230865643785], [-109.91232747871389, 30.910919754020362], [-107.33659535080123, 29.600931611762107], [-115.06996049072686, 32.3939660294497], [-114.81629017990832, 32.66417090583645], [-109.8720123408867, 30.463349274286244], [-105.9881703555401, 28.713769806841572], [-110.73716366644557, 31.127522195118107]]","[-117.1277599999999, 28.04993358368393, -103.3115378898296, 32.72082999999992]",[]
467,467,MEX,"POLYGON ((-103.3115378898296 29.04284502042036, -103.11 28.97000000000003, -102.48 29.75999999999999, -101.6624 29.77930000000009, -100.9576 29.38071000000014, -100.45584 28.69612000000012, -100.11 28.11000000000013, -99.51999999999992 27.54000000000002, -99.30000000000001 26.84000000000003, -99.01999999999992 26.37000000000006, -98.23999999999995 26.06000000000006, -97.52999999999992 25.84000000000009, -97.14000830767071 25.8699974634784, -97.52807247596655 24.9921440699203, -97.70294552284224 24.27234304452674, -97.77604183631905 22.93257986092766, -97.87236670611111 22.44421173755336, -97.69904395220419 21.89868948006426, -97.38895952023677 21.41101898852583, -105.4020685915061 27.45243006022415, -113.162642120973 30.81652134977613, -113.1504133881729 31.12672632089247, -104.4628141193768 28.04993358368393, -103.3115378898296 29.04284502042036))",33.621410640646296,"[[-100.01249179907875, 25.6920338403295], [-99.19665247081498, 25.26765132209824], [-100.3833839642286, 27.78465084895525], [-99.27148229264128, 24.656512207500764], [-98.9270561480375, 26.305479842591367], [-100.80039071056959, 28.863918276320398], [-98.6618222913179, 22.53829453205372], [-99.31099300624793, 25.72638594781271], [-99.13293205479319, 25.82130354276178], [-98.73650255974732, 25.10080541746629], [-99.58288085357424, 27.0274262018253]]","[-113.162642120973, 21.41101898852583, -97.14000830767071, 31.12672632089247]",[]
468,468,MEX,"POLYGON ((-114.8100138699623 31.71448901010607, -114.8719739450708 31.55749085139444, -117.1277599999999 32.53533999999996, -114.8100138699623 31.71448901010607))",0.20737093188177907,[],"[-117.1277599999999, 31.55749085139444, -114.8100138699623, 32.53533999999996]",[]
469,469,URY,"POLYGON ((-57.62513342958296 -30.21629485445426, -56.97602576356473 -30.10968637463613, -55.97324459494094 -30.8830758603163, -55.60151017924935 -30.85387867607139, -54.57245154480512 -31.49451140719375, -53.78795162618219 -32.04724252698762, -53.20958899597154 -32.72766611097472, -53.6505439927181 -33.20200408298183, -53.37366166849824 -33.76837778090076, -53.80642595072653 -34.39681487400223, -54.93586605489773 -34.95264657973362, -55.67408972840329 -34.75265878676407, -56.21529700379607 -34.85983570733742, -57.1396850246331 -34.43045623142424, -57.81786068381551 -34.4625472958775, -58.42707414410439 -33.90945444105758, -58.34961117209888 -33.26318897881541, -58.13264767112145 -33.04056690850202, -58.14244035504076 -32.04450367607615, -57.87493730328188 -31.01655608492621, -57.62513342958296 -30.21629485445426))",17.027171030994438,"[[-55.8402149571333, -32.170162037024745], [-55.26050175749045, -32.05668412428026], [-56.61235076615569, -31.673611134755287], [-56.65757280310669, -32.31478964824248], [-57.63148023655877, -34.416308197359555], [-53.37280663040678, -32.58771886510087]]","[-58.42707414410439, -34.95264657973362, -53.20958899597154, -30.10968637463613]",[]
470,470,BRA,"POLYGON ((-69.44410193548961 -1.556287123219818, -69.42048580593223 -1.122618503426409, -69.5770653957766 -0.549991957200163, -70.02065589057005 -0.1851563452195393, -70.01556576198931 0.5414142928042054, -69.45239600287246 0.7061587589506929, -69.25243404811906 0.6026508650700748, -69.21863766140018 0.9856765812174331, -69.80459672715773 1.089081122233466, -69.81697323269162 1.714805202639624, -67.86856502955884 1.692455145673392, -67.5378100246747 2.03716278727633, -67.25999752467359 1.719998684084956, -67.0650481838525 1.130112209473225, -66.87632585312258 1.253360500489336, -66.32576514348496 0.7244522159820121, -65.54826738143757 0.7892544620760303, -65.35471330428837 1.0952822941085, -64.61101192895987 1.328730576987042, -64.19930579289051 1.49285492594602, -64.08308549666609 1.91636912679408, -63.36878801131166 2.200899562993129, -63.42286739770512 2.411067613124175, -64.2699991522658 2.497005520025567, -64.40882788761792 3.126786200366624, -64.36849443221411 3.797210394705246, -64.81606401229402 4.056445217297423, -64.62865943058755 4.14848094320925, -63.88834286157416 4.020530096854571, -63.09319759789911 3.770571193858785, -62.80453304711671 4.006965033377952, -62.08542965355913 4.162123521334308, -60.96689327660154 4.536467596856639, -60.60117916527194 4.91809804933213, -60.73357418480372 5.200277207861901, -60.21368343773133 5.244486395687602, -59.98095862490489 5.014061184098139, -60.11100236676738 4.574966538914083, -59.76740576845872 4.423502915866607, -59.53803992373123 3.958802598481938, -59.81541317405787 3.606498521332085, -59.97075511230037 2.775401493508582, -62.6179453292409 -4.464205320758704, -69.44410193548961 -1.556287123219818))",49.267165646524155,"[[-61.19238030468279, 3.7626828263776035], [-60.61190457238615, 4.113381849122357], [-60.272415503088894, 4.000870007530066], [-60.45812938988391, 4.0334918353728], [-60.99148413473174, 3.3766905925708564], [-60.28922681309743, 4.370836157393794], [-60.126244493332806, 3.7230591745492916], [-60.26312014398491, 4.709086720440354], [-60.62363597742212, 2.919594840404087], [-61.069234133367, 2.9679787102611463], [-60.78153104928087, 2.8538339959446177], [-60.706916212086725, 4.010571111301471], [-60.27896534920426, 3.389638999863814], [-60.42794898464933, 3.865452585105314], [-60.253415802911206, 3.5744465454311767], [-59.97654465399603, 3.4623772305271814]]","[-70.02065589057005, -4.464205320758704, -59.53803992373123, 5.244486395687602]",[]
471,471,BRA,"POLYGON ((-70.09375220404689 -11.12397185633101, -70.54868567572841 -11.00914682377847, -70.48189388699117 -9.490118096558845, -71.30241227892154 -10.07943613041537, -72.18489071316985 -10.05359791426943, -72.56303300646564 -9.520193780152717, -73.22671342639016 -9.462212823121234, -73.01538265653255 -9.032833347208062, -73.57105933296707 -8.424446709835834, -73.98723548042966 -7.523829847853065, -73.7234014553635 -7.340998630404414, -73.72448666044164 -6.91859547285064, -73.1200274319236 -6.629930922068239, -73.21971126981461 -6.089188734566078, -72.9645072089412 -5.741251315944893, -72.89192765978726 -5.274561455916981, -71.74840572781655 -4.593982842633011, -70.92884334988358 -4.401591485210368, -70.7947688463023 -4.251264743673303, -69.89363521999663 -4.298186944194327, -62.12834836391569 -5.770395797661434, -70.09375220404689 -11.12397185633101))",44.584986258478814,[],"[-73.98723548042966, -11.12397185633101, -62.12834836391569, -4.251264743673303]",[]
472,472,BRA,"POLYGON ((-53.37366166849824 -33.76837778090076, -53.6505439927181 -33.20200408298183, -53.20958899597154 -32.72766611097472, -53.78795162618219 -32.04724252698762, -54.57245154480512 -31.49451140719375, -55.60151017924935 -30.85387867607139, -55.97324459494094 -30.8830758603163, -56.97602576356473 -30.10968637463613, -57.62513342958296 -30.21629485445426, -56.29089962423908 -28.85276051200089, -55.16228634298457 -27.88191537853346, -54.49072526713552 -27.47475676850579, -53.64873531758789 -26.92347258881609, -53.64020708547721 -26.5893907154612, -52.21200084703255 -27.82194443194144, -53.37366166849824 -33.76837778090076))",15.885816446693694,"[[-55.41302647485522, -29.879727348572896], [-57.244626664052184, -29.83910390339266], [-55.296098907078154, -30.94106427779633], [-55.18270688978386, -29.845106728067446], [-52.96151089015323, -27.658849057210205], [-53.62716423132139, -27.960408413353207], [-53.5215521258135, -28.885025780036106], [-53.52735760497185, -29.136690832616544], [-53.697603537324476, -27.81202929077245], [-54.075847453160314, -28.234945106945045]]","[-57.62513342958296, -33.76837778090076, -52.21200084703255, -26.5893907154612]",[]
473,473,BRA,"POLYGON ((-53.64020708547721 -26.5893907154612, -53.62834896504874 -26.12486500417747, -54.13004960795439 -25.54763925547725, -54.62529069682358 -25.73925546641551, -54.42894609233059 -25.16218474701217, -54.29347632507745 -24.57079965586396, -54.29295956075452 -24.02101409271073, -52.30815971092274 -22.87313182923773, -47.64897233742066 -24.88519906992772, -48.4954581365777 -25.87702483490565, -48.64100480812774 -26.62369760509093, -48.47473588722865 -27.17591196056189, -48.66152035174763 -28.18613453543572, -48.8884574041574 -28.67411508556788, -49.58732947447267 -29.22446908947634, -50.69687415221149 -30.98446502047296, -51.57622616230616 -31.77769825615321, -52.25608130553805 -32.24536996839467, -52.71209998229769 -33.19657805759118, -53.37366166849824 -33.76837778090076, -52.21200084703255 -27.82194443194144, -53.64020708547721 -26.5893907154612))",34.776863209414785,"[[-53.76736849553289, -24.91531802612656], [-51.08004827732637, -30.249000139062677], [-52.53285663686484, -24.58269834904967], [-50.91784172480941, -29.98820691878417], [-54.35241810622081, -24.911898515164587], [-52.40417190779346, -24.366577719075362], [-50.88884409908933, -30.997488824651015], [-51.053895752442216, -29.911337167908197], [-49.75487096723542, -25.773746431121328], [-52.32804818685591, -32.013389080026656], [-51.65955970771177, -25.581526763977394], [-52.373235096209605, -31.362272457923716], [-51.48625806413707, -27.831149950638387], [-51.43373455996777, -30.167236557837924], [-54.105645611506766, -25.496397942559838]]","[-54.62529069682358, -33.76837778090076, -47.64897233742066, -22.87313182923773]",[]
474,474,BRA,"POLYGON ((-54.65283423523513 -23.83957813893396, -55.02790178080955 -24.00127369557523, -55.40074723979542 -23.9569353166688, -55.51763932963964 -23.57199757252664, -55.61068274598114 -22.65561939869485, -55.79795813660691 -22.35692962004782, -56.47331743022939 -22.08630014413528, -56.8815095689029 -22.28215382252148, -57.93715572776129 -22.09017587655717, -52.37273801102976 -19.54961184884565, -54.65283423523513 -23.83957813893396))",8.15453161814005,[],"[-57.93715572776129, -24.00127369557523, -52.37273801102976, -19.54961184884565]",[]
